i,real,imag
5,-0.5000,-0.00001091
5,-0.5000,0.00001091
5,-0.5000,0.0000
5,-0.6858,-0.07708
5,-0.6858,0.07708
5,-0.3142,-0.07708
5,-0.3142,0.07708
5,-0.5000,0.0000
5,-0.6450,-0.1952
5,-0.6450,0.1952
5,-0.3550,-0.1952
5,-0.3550,0.1952
5,-0.5000,0.0000
5,-0.6758,-0.1465
5,-0.6758,0.1465
5,-0.3242,-0.1465
5,-0.3242,0.1465
5,-0.7742,0.0000
5,-0.6443,0.0000
5,-0.5000,0.0000
5,-0.3557,0.0000
5,-0.2258,0.0000
5,-0.7376,0.0000
5,-0.5000,0.0000
5,-0.2624,0.0000
5,-0.5000,-0.000005702
5,-0.5000,0.000005702
5,-0.6755,0.0000
5,-0.5000,0.0000
5,-0.3245,0.0000
5,-0.5000,-0.2588
5,-0.5000,0.2588
5,-0.7643,0.0000
5,-0.5000,0.0000
5,-0.2357,0.0000
5,-0.5000,-0.1783
5,-0.5000,0.1783
5,-0.5000,0.0000
5,-0.6553,-0.1510
5,-0.6553,0.1510
5,-0.3447,-0.1510
5,-0.3447,0.1510
5,-0.6869,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.3131,0.0000
5,-0.8718,0.0000
5,-0.6869,0.0000
5,-0.5000,0.0000
5,-0.3131,0.0000
5,-0.1282,0.0000
5,-0.8362,0.0000
5,-0.5000,0.0000
5,-0.1638,0.0000
5,-0.5000,-0.04720
5,-0.5000,0.04720
5,-0.8291,0.0000
5,-0.5925,0.0000
5,-0.5000,0.0000
5,-0.4075,0.0000
5,-0.1709,0.0000
5,-0.7737,0.0000
5,-0.5000,0.0000
5,-0.2263,0.0000
5,-0.5000,-0.2780
5,-0.5000,0.2780
5,-0.5000,0.0000
5,-0.7153,-0.09398
5,-0.7153,0.09398
5,-0.2847,-0.09398
5,-0.2847,0.09398
5,-0.7902,0.0000
5,-0.5000,0.0000
5,-0.2098,0.0000
5,-0.5000,-0.1464
5,-0.5000,0.1464
5,-0.7887,0.0000
5,-0.5000,0.0000
5,-0.2113,0.0000
5,-0.7194,0.0000
5,-0.5000,0.0000
5,-0.2806,0.0000
5,-0.5000,-0.2474
5,-0.5000,0.2474
5,-0.7282,0.0000
5,-0.5542,0.0000
5,-0.5000,0.0000
5,-0.4458,0.0000
5,-0.2718,0.0000
5,-0.5000,0.0000
5,-0.6202,-0.1388
5,-0.6202,0.1388
5,-0.3798,-0.1388
5,-0.3798,0.1388
5,-0.5000,0.0000
5,-0.6293,-0.1831
5,-0.6293,0.1831
5,-0.3707,-0.1831
5,-0.3707,0.1831
5,-0.5000,0.0000
