g,real,imag
21,-2.12189,-0.64612
21,-2.12189,0.64612
21,-2.10624,-0.40190
21,-2.10624,0.40190
21,-2.07603,-0.85692
21,-2.07603,0.85692
21,-1.99106,-1.03919
21,-1.99106,1.03919
21,-1.87796,-1.19454
21,-1.87796,1.19454
21,-1.74374,-1.32359
21,-1.74374,1.32359
21,-1.59365,-1.42663
21,-1.59365,1.42663
21,-1.43193,-1.50380
21,-1.43193,1.50380
21,-1.26225,-1.55519
21,-1.26225,1.55519
21,-1.08793,-1.58088
21,-1.08793,1.58088
21,-0.91207,-1.58088
21,-0.91207,1.58088
21,-0.73775,-1.55519
21,-0.73775,1.55519
21,-0.56807,-1.50380
21,-0.56807,1.50380
21,-0.40635,-1.42663
21,-0.40635,1.42663
21,-0.25626,-1.32359
21,-0.25626,1.32359
21,-0.12204,-1.19454
21,-0.12204,1.19454
21,-0.00894,-1.03919
21,-0.00894,1.03919
21,0.07603,-0.85692
21,0.07603,0.85692
21,0.10624,-0.40190
21,0.10624,0.40190
21,0.12189,-0.64612
21,0.12189,0.64612
22,-2.12789,-0.62557
22,-2.12789,0.62557
22,-2.10717,-0.38955
22,-2.10717,0.38955
22,-2.08985,-0.83077
22,-2.08985,0.83077
22,-2.01416,-1.00995
22,-2.01416,1.00995
22,-1.91110,-1.16459
22,-1.91110,1.16459
22,-1.78720,-1.29521
22,-1.78720,1.29521
22,-1.64734,-1.40198
22,-1.64734,1.40198
22,-1.49546,-1.48499
22,-1.49546,1.48499
22,-1.33494,-1.54427
22,-1.33494,1.54427
22,-1.16884,-1.57982
22,-1.16884,1.57982
22,-1.00000,-1.59167
22,-1.00000,1.59167
22,-0.83116,-1.57982
22,-0.83116,1.57982
22,-0.66506,-1.54427
22,-0.66506,1.54427
22,-0.50454,-1.48499
22,-0.50454,1.48499
22,-0.35266,-1.40198
22,-0.35266,1.40198
22,-0.21280,-1.29521
22,-0.21280,1.29521
22,-0.08890,-1.16459
22,-0.08890,1.16459
22,0.01416,-1.00995
22,0.01416,1.00995
22,0.08985,-0.83077
22,0.08985,0.83077
22,0.10717,-0.38955
22,0.10717,0.38955
22,0.12789,-0.62557
22,0.12789,0.62557
23,-2.13287,-0.60646
23,-2.13287,0.60646
23,-2.10779,-0.37813
23,-2.10779,0.37813
23,-2.10173,-0.80620
23,-2.10173,0.80620
23,-2.03437,-0.98210
23,-2.03437,0.98210
23,-1.94043,-1.13556
23,-1.94043,1.13556
23,-1.82603,-1.26703
23,-1.82603,1.26703
23,-1.69570,-1.37661
23,-1.69570,1.37661
23,-1.55308,-1.46431
23,-1.55308,1.46431
23,-1.40134,-1.53011
23,-1.40134,1.53011
23,-1.24328,-1.57399
23,-1.24328,1.57399
23,-1.08150,-1.59593
23,-1.08150,1.59593
23,-0.91850,-1.59593
23,-0.91850,1.59593
23,-0.75672,-1.57399
23,-0.75672,1.57399
23,-0.59866,-1.53011
23,-0.59866,1.53011
23,-0.44692,-1.46431
23,-0.44692,1.46431
23,-0.30430,-1.37661
23,-0.30430,1.37661
23,-0.17397,-1.26703
23,-0.17397,1.26703
23,-0.05957,-1.13556
23,-0.05957,1.13556
23,0.03437,-0.98210
23,0.03437,0.98210
23,0.10173,-0.80620
23,0.10173,0.80620
23,0.10779,-0.37813
23,0.10779,0.37813
23,0.13287,-0.60646
23,0.13287,0.60646
24,-2.13700,-0.58866
24,-2.13700,0.58866
24,-2.11198,-0.78310
24,-2.11198,0.78310
24,-2.10818,-0.36755
24,-2.10818,0.36755
24,-2.05210,-0.95562
24,-2.05210,0.95562
24,-1.96647,-1.10754
24,-1.96647,1.10754
24,-1.86080,-1.23928
24,-1.86080,1.23928
24,-1.73931,-1.35089
24,-1.73931,1.35089
24,-1.60542,-1.44232
24,-1.60542,1.44232
24,-1.46203,-1.51352
24,-1.46203,1.51352
24,-1.31175,-1.56442
24,-1.31175,1.56442
24,-1.15698,-1.59497
24,-1.15698,1.59497
24,-1.00000,-1.60516
24,-1.00000,1.60516
24,-0.84302,-1.59497
24,-0.84302,1.59497
24,-0.68825,-1.56442
24,-0.68825,1.56442
24,-0.53797,-1.51352
24,-0.53797,1.51352
24,-0.39458,-1.44232
24,-0.39458,1.44232
24,-0.26069,-1.35089
24,-0.26069,1.35089
24,-0.13920,-1.23928
24,-0.13920,1.23928
24,-0.03353,-1.10754
24,-0.03353,1.10754
24,0.05210,-0.95562
24,0.05210,0.95562
24,0.10818,-0.36755
24,0.10818,0.36755
24,0.11198,-0.78310
24,0.11198,0.78310
24,0.13700,-0.58866
24,0.13700,0.58866
25,-2.14042,-0.57205
25,-2.14042,0.57205
25,-2.12082,-0.76136
25,-2.12082,0.76136
25,-2.10837,-0.35770
25,-2.10837,0.35770
25,-2.06769,-0.93044
25,-2.06769,0.93044
25,-1.98962,-1.08057
25,-1.98962,1.08057
25,-1.89198,-1.21212
25,-1.89198,1.21212
25,-1.77871,-1.32512
25,-1.77871,1.32512
25,-1.65299,-1.41949
25,-1.65299,1.41949
25,-1.51753,-1.49513
25,-1.51753,1.49513
25,-1.37475,-1.55194
25,-1.37475,1.55194
25,-1.22686,-1.58985
25,-1.22686,1.58985
25,-1.07595,-1.60881
25,-1.07595,1.60881
25,-0.92405,-1.60881
25,-0.92405,1.60881
25,-0.77314,-1.58985
25,-0.77314,1.58985
25,-0.62525,-1.55194
25,-0.62525,1.55194
25,-0.48247,-1.49513
25,-0.48247,1.49513
25,-0.34701,-1.41949
25,-0.34701,1.41949
25,-0.22129,-1.32512
25,-0.22129,1.32512
25,-0.10802,-1.21212
25,-0.10802,1.21212
25,-0.01038,-1.08057
25,-0.01038,1.08057
25,0.06769,-0.93044
25,0.06769,0.93044
25,0.10837,-0.35770
25,0.10837,0.35770
25,0.12082,-0.76136
25,0.12082,0.76136
25,0.14042,-0.57205
25,0.14042,0.57205
26,-2.14324,-0.55650
26,-2.14324,0.55650
26,-2.12847,-0.74090
26,-2.12847,0.74090
26,-2.10841,-0.34852
26,-2.10841,0.34852
26,-2.08143,-0.90652
26,-2.08143,0.90652
26,-2.01025,-1.05466
26,-2.01025,1.05466
26,-1.92000,-1.18565
26,-1.92000,1.18565
26,-1.81436,-1.29952
26,-1.81436,1.29952
26,-1.69630,-1.39616
26,-1.69630,1.39616
26,-1.56835,-1.47543
26,-1.56835,1.47543
26,-1.43274,-1.53720
26,-1.43274,1.53720
26,-1.29154,-1.58140
26,-1.29154,1.58140
26,-1.14668,-1.60794
26,-1.14668,1.60794
26,-1.00000,-1.61680
26,-1.00000,1.61680
26,-0.85332,-1.60794
26,-0.85332,1.60794
26,-0.70846,-1.58140
26,-0.70846,1.58140
26,-0.56726,-1.53720
26,-0.56726,1.53720
26,-0.43165,-1.47543
26,-0.43165,1.47543
26,-0.30370,-1.39616
26,-0.30370,1.39616
26,-0.18564,-1.29952
26,-0.18564,1.29952
26,-0.08000,-1.18565
26,-0.08000,1.18565
26,0.01025,-1.05466
26,0.01025,1.05466
26,0.08143,-0.90652
26,0.08143,0.90652
26,0.10841,-0.34852
26,0.10841,0.34852
26,0.12847,-0.74090
26,0.12847,0.74090
26,0.14324,-0.55650
26,0.14324,0.55650
27,-2.14556,-0.54194
27,-2.14556,0.54194
27,-2.13510,-0.72160
27,-2.13510,0.72160
27,-2.10831,-0.33993
27,-2.10831,0.33993
27,-2.09356,-0.88380
27,-2.09356,0.88380
27,-2.02867,-1.02980
27,-2.02867,1.02980
27,-1.94522,-1.15995
27,-1.94522,1.15995
27,-1.84667,-1.27426
27,-1.84667,1.27426
27,-1.73578,-1.37259
27,-1.73578,1.37259
27,-1.61491,-1.45481
27,-1.61491,1.45481
27,-1.48616,-1.52076
27,-1.48616,1.52076
27,-1.35143,-1.57032
27,-1.35143,1.57032
27,-1.21251,-1.60341
27,-1.21251,1.60341
27,-1.07111,-1.61997
27,-1.07111,1.61997
27,-0.92889,-1.61997
27,-0.92889,1.61997
27,-0.78749,-1.60341
27,-0.78749,1.60341
27,-0.64857,-1.57032
27,-0.64857,1.57032
27,-0.51384,-1.52076
27,-0.51384,1.52076
27,-0.38509,-1.45481
27,-0.38509,1.45481
27,-0.26422,-1.37259
27,-0.26422,1.37259
27,-0.15333,-1.27426
27,-0.15333,1.27426
27,-0.05478,-1.15995
27,-0.05478,1.15995
27,0.02867,-1.02980
27,0.02867,1.02980
27,0.09356,-0.88380
27,0.09356,0.88380
27,0.10831,-0.33993
27,0.10831,0.33993
27,0.13510,-0.72160
27,0.13510,0.72160
27,0.14556,-0.54194
27,0.14556,0.54194
28,-2.14745,-0.52826
28,-2.14745,0.52826
28,-2.14084,-0.70340
28,-2.14084,0.70340
28,-2.10812,-0.33189
28,-2.10812,0.33189
28,-2.10428,-0.86220
28,-2.10428,0.86220
28,-2.04515,-1.00597
28,-2.04515,1.00597
28,-1.96797,-1.13505
28,-1.96797,1.13505
28,-1.87598,-1.24944
28,-1.87598,1.24944
28,-1.77180,-1.34901
28,-1.77180,1.34901
28,-1.65762,-1.43359
28,-1.65762,1.43359
28,-1.53539,-1.50302
28,-1.53539,1.50302
28,-1.40689,-1.55716
28,-1.40689,1.55716
28,-1.27379,-1.59590
28,-1.27379,1.59590
28,-1.13764,-1.61918
28,-1.13764,1.61918
28,-1.00000,-1.62694
28,-1.00000,1.62694
28,-0.86236,-1.61918
28,-0.86236,1.61918
28,-0.72621,-1.59590
28,-0.72621,1.59590
28,-0.59311,-1.55716
28,-0.59311,1.55716
28,-0.46461,-1.50302
28,-0.46461,1.50302
28,-0.34238,-1.43359
28,-0.34238,1.43359
28,-0.22820,-1.34901
28,-0.22820,1.34901
28,-0.12402,-1.24944
28,-0.12402,1.24944
28,-0.03203,-1.13505
28,-0.03203,1.13505
28,0.04515,-1.00597
28,0.04515,1.00597
28,0.10428,-0.86220
28,0.10428,0.86220
28,0.10812,-0.33189
28,0.10812,0.33189
28,0.14084,-0.70340
28,0.14084,0.70340
28,0.14745,-0.52826
28,0.14745,0.52826
