i,real,imag
6,-0.3497,0.0000
6,-0.1262,0.0000
6,-0.5000,-0.3600
6,-0.5000,0.3600
6,-0.8789,0.0000
6,-0.7086,0.0000
6,-0.2914,0.0000
6,-0.1211,0.0000
6,-0.5000,-0.1430
6,-0.5000,0.1430
6,-0.8560,0.0000
6,-0.6950,0.0000
6,-0.3050,0.0000
6,-0.1440,0.0000
6,-0.5000,-0.1415
6,-0.5000,0.1415
6,-0.8717,0.0000
6,-0.6520,0.0000
6,-0.3480,0.0000
6,-0.1283,0.0000
6,-0.5000,-0.2268
6,-0.5000,0.2268
6,-0.8770,0.0000
6,-0.7423,0.0000
6,-0.2577,0.0000
6,-0.1230,0.0000
6,-0.5000,-0.00000006416
6,-0.5000,0.00000006416
6,-0.9133,0.0000
6,-0.7322,0.0000
6,-0.2678,0.0000
6,-0.08666,0.0000
6,-0.5000,-0.1198
6,-0.5000,0.1198
6,-0.8778,0.0000
6,-0.6745,0.0000
6,-0.3255,0.0000
6,-0.1222,0.0000
6,-0.5000,-0.3662
6,-0.5000,0.3662
6,-0.8772,0.0000
6,-0.7075,0.0000
6,-0.2925,0.0000
6,-0.1228,0.0000
6,-0.5000,-0.1821
6,-0.5000,0.1821
6,-0.9019,0.0000
6,-0.5253,0.0000
6,-0.4747,0.0000
6,-0.09806,0.0000
6,-0.5000,-0.0000004353
6,-0.5000,0.0000004353
6,-0.8657,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1343,0.0000
6,-0.5000,-0.3406
6,-0.5000,0.3406
6,-0.8579,0.0000
6,-0.1421,0.0000
6,-0.5000,-0.2764
6,-0.5000,-0.2301
6,-0.5000,0.2301
6,-0.5000,0.2764
6,-0.8507,0.0000
6,-0.1493,0.0000
6,-0.6097,-0.2942
6,-0.6097,0.2942
6,-0.3903,-0.2942
6,-0.3903,0.2942
6,-0.8946,0.0000
6,-0.1054,0.0000
6,-0.5575,-0.1676
6,-0.5575,0.1676
6,-0.4425,-0.1676
6,-0.4425,0.1676
6,-0.8861,0.0000
6,-0.1139,0.0000
6,-0.6491,-0.1282
6,-0.6491,0.1282
6,-0.3509,-0.1282
6,-0.3509,0.1282
6,-0.8712,0.0000
6,-0.1288,0.0000
6,-0.5000,-0.1455
6,-0.5000,-0.00000003404
6,-0.5000,0.00000003404
6,-0.5000,0.1455
6,-0.8707,0.0000
6,-0.1293,0.0000
6,-0.6170,-0.1439
6,-0.6170,0.1439
6,-0.3830,-0.1439
6,-0.3830,0.1439
6,-0.8608,0.0000
6,-0.1392,0.0000
6,-0.5818,-0.1295
6,-0.5818,0.1295
6,-0.4182,-0.1295
6,-0.4182,0.1295
6,-0.8650,0.0000
6,-0.1350,0.0000
6,-0.5723,-0.2300
6,-0.5723,0.2300
6,-0.4277,-0.2300
6,-0.4277,0.2300
6,-0.9189,0.0000
6,-0.08114,0.0000
6,-0.6351,-0.06621
6,-0.6351,0.06621
6,-0.3649,-0.06621
6,-0.3649,0.06621
6,-0.9009,0.0000
6,-0.09914,0.0000
6,-0.6478,-0.1281
6,-0.6478,0.1281
6,-0.3522,-0.1281
6,-0.3522,0.1281
6,-0.9180,0.0000
6,-0.08202,0.0000
6,-0.6686,-0.1037
6,-0.6686,0.1037
6,-0.3314,-0.1037
6,-0.3314,0.1037
6,-0.9420,0.0000
6,-0.7805,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.2195,0.0000
6,-0.05797,0.0000
6,-0.8607,0.0000
6,-0.7557,0.0000
6,-0.2443,0.0000
6,-0.1393,0.0000
6,-0.5000,-0.07648
6,-0.5000,0.07648
6,-0.8561,0.0000
6,-0.7122,0.0000
6,-0.2878,0.0000
6,-0.1439,0.0000
6,-0.5000,-0.1739
6,-0.5000,0.1739
6,-0.8763,0.0000
6,-0.7669,0.0000
6,-0.2331,0.0000
6,-0.1237,0.0000
6,-0.5000,-0.00000005843
6,-0.5000,0.00000005843
6,-0.8542,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1458,0.0000
6,-0.5000,-0.08553
6,-0.5000,0.08553
6,-0.8556,0.0000
6,-0.1444,0.0000
6,-0.6512,-0.09580
6,-0.6512,0.09580
6,-0.3488,-0.09580
6,-0.3488,0.09580
